blind_id,canonical_id,source_id,method,style_category,content_score,style_removal_score,identity_score,identity_judgment_valid,accepted,missing_core,content_dimension_failed,style_dimension_failed,identity_dimension_failed,failure_types,core_complete_at_reduction
P-0060,global_canny_0p4:cma-120848,cma-120848,global_canny_0p4,ink,4,2,4,yes,False,False,False,True,False,artistic_contour_residual,True
P-0061,global_canny_0p4:met-459232,met-459232,global_canny_0p4,ink,4,2,3,yes,False,False,False,True,True,artistic_contour_residual,True
P-0062,global_canny_0p4:synthetic-comic-025,synthetic-comic-025,global_canny_0p4,comic,4,2,3,yes,False,False,False,True,True,artistic_contour_residual,True
P-0064,prompt_generic:cma-329352,cma-329352,prompt_generic,ink,1,2,0,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,True
P-0065,region_canny:wm-wm_carrot-64417379,wm-wm_carrot-64417379,region_canny,comic,1,2,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,True
P-0066,prompt_generic:met-459232,met-459232,prompt_generic,ink,3,3,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0067,global_canny_0p4:synthetic-3d-cartoon-029,synthetic-3d-cartoon-029,global_canny_0p4,3d_cartoon,4,3,4,yes,False,False,False,True,False,artistic_contour_residual;material_render_residual,True
P-0069,prompt_generic:cma-108522,cma-108522,prompt_generic,watercolor,3,3,1,yes,False,False,True,True,True,identity_drift,True
P-0070,flux_kontext_native1024:synthetic-3d-cartoon-027,synthetic-3d-cartoon-027,flux_kontext_native1024,3d_cartoon,5,4,5,yes,True,False,False,False,False,artistic_contour_residual;material_render_residual,True
P-0071,prompt_adaptive:met-459232,met-459232,prompt_adaptive,ink,3,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0072,prompt_adaptive:synthetic-3d-cartoon-032,synthetic-3d-cartoon-032,prompt_adaptive,3d_cartoon,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0073,region_canny:cma-121286,cma-121286,region_canny,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0074,flux_kontext_native1024:met-376383,met-376383,flux_kontext_native1024,ink,5,4,5,yes,True,False,False,False,False,,True
P-0075,prompt_generic:synthetic-3d-cartoon-028,synthetic-3d-cartoon-028,prompt_generic,3d_cartoon,4,3,4,yes,False,False,False,True,False,artistic_contour_residual;background_drift;material_render_residual,True
P-0076,prompt_generic:synthetic-3d-cartoon-027,synthetic-3d-cartoon-027,prompt_generic,3d_cartoon,5,4,4,yes,True,False,False,False,False,material_render_residual,True
P-0077,region_canny:cma-166868,cma-166868,region_canny,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0078,region_canny:cma-121283,cma-121283,region_canny,watercolor,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0082,flux_kontext_native1024:cma-121265,cma-121265,flux_kontext_native1024,watercolor,5,4,4,yes,True,False,False,False,False,,True
P-0083,flux_kontext_native1024:cma-120848,cma-120848,flux_kontext_native1024,ink,4,4,3,yes,False,False,False,False,True,,True
P-0084,prompt_generic:synthetic-3d-cartoon-030,synthetic-3d-cartoon-030,prompt_generic,3d_cartoon,4,3,3,yes,False,False,False,True,True,artistic_contour_residual;material_render_residual,True
P-0085,prompt_adaptive:synthetic-3d-cartoon-016,synthetic-3d-cartoon-016,prompt_adaptive,3d_cartoon,3,3,4,yes,False,False,True,True,False,background_drift;material_render_residual,True
P-0088,flux_kontext_native1024:wm-wm_carrot-63817815,wm-wm_carrot-63817815,flux_kontext_native1024,comic,5,4,4,yes,True,False,False,False,False,,True
P-0089,region_canny:synthetic-comic-022,synthetic-comic-022,region_canny,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0091,prompt_adaptive:synthetic-comic-025,synthetic-comic-025,prompt_adaptive,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0092,prompt_generic:synthetic-3d-cartoon-033,synthetic-3d-cartoon-033,prompt_generic,3d_cartoon,4,4,3,yes,False,False,False,False,True,background_drift,True
P-0094,prompt_generic:synthetic-comic-016,synthetic-comic-016,prompt_generic,comic,3,2,2,yes,False,False,True,True,True,background_drift;identity_drift;material_render_residual,True
P-0096,flux_kontext_native1024:cma-119033,cma-119033,flux_kontext_native1024,watercolor,3,4,3,yes,False,False,True,False,True,identity_drift;structure_drift,True
P-0097,region_canny:cma-120841,cma-120841,region_canny,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0098,prompt_generic:cma-120839,cma-120839,prompt_generic,watercolor,1,1,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;structure_drift,True
P-0099,flux_kontext_native1024:cma-121283,cma-121283,flux_kontext_native1024,watercolor,5,4,5,yes,True,False,False,False,False,,True
P-0100,region_canny:cma-120840,cma-120840,region_canny,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0101,region_canny:synthetic-3d-cartoon-016,synthetic-3d-cartoon-016,region_canny,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0103,prompt_generic:wm-wm_carrot-63817815,wm-wm_carrot-63817815,prompt_generic,comic,1,1,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,True
P-0105,prompt_generic:wm-wm_carrot-64417379,wm-wm_carrot-64417379,prompt_generic,comic,1,1,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;no_usable_face;structure_drift,True
P-0106,prompt_adaptive:cma-121283,cma-121283,prompt_adaptive,watercolor,2,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0108,global_canny_0p4:cma-121287,cma-121287,global_canny_0p4,watercolor,3,3,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0110,global_canny_0p4:cma-166868,cma-166868,global_canny_0p4,ink,2,2,2,yes,False,False,True,True,True,artistic_contour_residual,True
P-0112,flux_kontext_native1024:synthetic-3d-cartoon-016,synthetic-3d-cartoon-016,flux_kontext_native1024,3d_cartoon,4,3,3,yes,False,False,False,True,True,,True
P-0113,global_canny_0p4:synthetic-3d-cartoon-033,synthetic-3d-cartoon-033,global_canny_0p4,3d_cartoon,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,True
P-0115,global_canny_0p4:synthetic-comic-016,synthetic-comic-016,global_canny_0p4,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,True
P-0116,flux_kontext_native1024:synthetic-comic-024,synthetic-comic-024,flux_kontext_native1024,comic,5,4,5,yes,True,False,False,False,False,,True
P-0118,prompt_adaptive:cma-119033,cma-119033,prompt_adaptive,watercolor,2,2,1,yes,False,False,True,True,True,identity_drift;material_render_residual,True
P-0119,flux_kontext_native1024:cma-108522,cma-108522,flux_kontext_native1024,watercolor,4,4,4,yes,True,False,False,False,False,,True
P-0120,flux_kontext_native1024:cma-121287,cma-121287,flux_kontext_native1024,watercolor,4,4,4,yes,True,False,False,False,False,,True
P-0121,prompt_generic:met-459195,met-459195,prompt_generic,ink,1,1,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;structure_drift,True
P-0122,prompt_generic:synthetic-comic-024,synthetic-comic-024,prompt_generic,comic,4,3,3,yes,False,False,False,True,True,artistic_contour_residual;material_render_residual,True
P-0123,prompt_adaptive:synthetic-comic-023,synthetic-comic-023,prompt_adaptive,comic,2,2,2,yes,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift,True
P-0125,region_canny:synthetic-comic-025,synthetic-comic-025,region_canny,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0126,global_canny_0p4:cma-121283,cma-121283,global_canny_0p4,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0128,prompt_generic:cma-120841,cma-120841,prompt_generic,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0129,flux_kontext_native1024:cma-166868,cma-166868,flux_kontext_native1024,ink,4,4,5,yes,True,False,False,False,False,,True
P-0130,region_canny:synthetic-3d-cartoon-030,synthetic-3d-cartoon-030,region_canny,3d_cartoon,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0131,prompt_adaptive:synthetic-comic-024,synthetic-comic-024,prompt_adaptive,comic,4,3,3,yes,False,False,False,True,True,artistic_contour_residual;material_render_residual,True
P-0134,global_canny_0p4:synthetic-3d-cartoon-019,synthetic-3d-cartoon-019,global_canny_0p4,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,True
P-0135,global_canny_0p4:met-376383,met-376383,global_canny_0p4,ink,2,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0140,flux_kontext_native1024:cma-120841,cma-120841,flux_kontext_native1024,ink,5,4,4,yes,True,False,False,False,False,,False
P-0143,global_canny_0p4:synthetic-3d-cartoon-030,synthetic-3d-cartoon-030,global_canny_0p4,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,False
P-0149,prompt_generic:cma-121287,cma-121287,prompt_generic,watercolor,3,3,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0151,region_canny:synthetic-3d-cartoon-027,synthetic-3d-cartoon-027,region_canny,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0154,flux_kontext_native1024:cma-120839,cma-120839,flux_kontext_native1024,watercolor,5,4,5,yes,True,False,False,False,False,,False
P-0156,prompt_generic:met-376383,met-376383,prompt_generic,ink,2,2,1,yes,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,False
P-0158,prompt_adaptive:cma-329352,cma-329352,prompt_adaptive,ink,1,1,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,False
P-0160,region_canny:synthetic-comic-016,synthetic-comic-016,region_canny,comic,2,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,False
P-0162,region_canny:synthetic-3d-cartoon-019,synthetic-3d-cartoon-019,region_canny,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0164,prompt_adaptive:synthetic-3d-cartoon-027,synthetic-3d-cartoon-027,prompt_adaptive,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0166,flux_kontext_native1024:synthetic-3d-cartoon-019,synthetic-3d-cartoon-019,flux_kontext_native1024,3d_cartoon,4,3,4,yes,False,False,False,True,False,artistic_contour_residual,False
P-0174,prompt_generic:synthetic-comic-025,synthetic-comic-025,prompt_generic,comic,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0175,prompt_adaptive:cma-169341,cma-169341,prompt_adaptive,ink,1,2,1,yes,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,False
P-0176,prompt_adaptive:cma-120841,cma-120841,prompt_adaptive,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0177,prompt_adaptive:wm-wm_carrot-63817815,wm-wm_carrot-63817815,prompt_adaptive,comic,1,1,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,False
P-0181,prompt_generic:synthetic-3d-cartoon-016,synthetic-3d-cartoon-016,prompt_generic,3d_cartoon,3,3,2,yes,False,False,True,True,True,background_drift;material_render_residual,False
P-0187,flux_kontext_native1024:synthetic-3d-cartoon-030,synthetic-3d-cartoon-030,flux_kontext_native1024,3d_cartoon,5,4,4,yes,True,False,False,False,False,,False
P-0189,region_canny:cma-120839,cma-120839,region_canny,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0194,global_canny_0p4:synthetic-3d-cartoon-027,synthetic-3d-cartoon-027,global_canny_0p4,3d_cartoon,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,False
P-0195,global_canny_0p4:wm-wm_carrot-64417174,wm-wm_carrot-64417174,global_canny_0p4,comic,3,1,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0196,region_canny:cma-169341,cma-169341,region_canny,ink,2,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift;material_render_residual,False
P-0198,prompt_adaptive:cma-120848,cma-120848,prompt_adaptive,ink,3,3,3,yes,False,False,True,True,True,material_render_residual,False
P-0201,prompt_generic:cma-121265,cma-121265,prompt_generic,watercolor,2,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0202,global_canny_0p4:met-459195,met-459195,global_canny_0p4,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0210,global_canny_0p4:wm-wm_carrot-63817815,wm-wm_carrot-63817815,global_canny_0p4,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0217,global_canny_0p4:synthetic-comic-022,synthetic-comic-022,global_canny_0p4,comic,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0220,global_canny_0p4:wm-wm_carrot-64417379,wm-wm_carrot-64417379,global_canny_0p4,comic,3,2,2,yes,False,False,True,True,True,artistic_contour_residual,False
P-0222,prompt_adaptive:synthetic-3d-cartoon-030,synthetic-3d-cartoon-030,prompt_adaptive,3d_cartoon,3,3,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,False
P-0225,region_canny:cma-121265,cma-121265,region_canny,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0226,region_canny:cma-108522,cma-108522,region_canny,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0227,prompt_generic:cma-121283,cma-121283,prompt_generic,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0231,prompt_adaptive:wm-wm_carrot-64417174,wm-wm_carrot-64417174,prompt_adaptive,comic,1,1,1,yes,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,False
P-0232,prompt_adaptive:cma-120840,cma-120840,prompt_adaptive,watercolor,1,1,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0234,global_canny_0p4:synthetic-3d-cartoon-028,synthetic-3d-cartoon-028,global_canny_0p4,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0235,flux_kontext_native1024:cma-121286,cma-121286,flux_kontext_native1024,watercolor,4,4,3,yes,False,False,False,False,True,,False
P-0238,region_canny:cma-329352,cma-329352,region_canny,ink,2,2,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift;structure_drift,False
P-0240,prompt_generic:synthetic-comic-023,synthetic-comic-023,prompt_generic,comic,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,False
P-0241,prompt_adaptive:synthetic-3d-cartoon-033,synthetic-3d-cartoon-033,prompt_adaptive,3d_cartoon,3,3,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0243,region_canny:wm-wm_carrot-64417174,wm-wm_carrot-64417174,region_canny,comic,1,1,2,yes,False,False,True,True,True,artistic_contour_residual;background_drift;structure_drift,False
P-0244,prompt_generic:cma-166868,cma-166868,prompt_generic,ink,2,2,2,yes,False,False,True,True,True,artistic_contour_residual;background_drift;material_render_residual;structure_drift,False
P-0246,prompt_generic:synthetic-3d-cartoon-029,synthetic-3d-cartoon-029,prompt_generic,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0248,prompt_generic:cma-120840,cma-120840,prompt_generic,watercolor,1,1,1,no,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,False
P-0250,flux_kontext_native1024:cma-120840,cma-120840,flux_kontext_native1024,watercolor,5,4,5,yes,True,False,False,False,False,,False
P-0253,prompt_adaptive:synthetic-comic-022,synthetic-comic-022,prompt_adaptive,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0256,flux_kontext_native1024:met-459195,met-459195,flux_kontext_native1024,ink,4,4,3,yes,False,False,False,False,True,,False
P-0257,prompt_adaptive:cma-121286,cma-121286,prompt_adaptive,watercolor,3,3,2,yes,False,False,True,True,True,material_render_residual,False
P-0261,flux_kontext_native1024:cma-169341,cma-169341,flux_kontext_native1024,ink,5,4,5,yes,True,False,False,False,False,,False
P-0269,flux_kontext_native1024:synthetic-3d-cartoon-029,synthetic-3d-cartoon-029,flux_kontext_native1024,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0271,prompt_adaptive:synthetic-comic-016,synthetic-comic-016,prompt_adaptive,comic,3,2,2,yes,False,False,True,True,True,material_render_residual,False
P-0276,flux_kontext_native1024:synthetic-comic-023,synthetic-comic-023,flux_kontext_native1024,comic,5,4,5,yes,True,False,False,False,False,,False
P-0277,prompt_generic:cma-121286,cma-121286,prompt_generic,watercolor,2,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,False
P-0278,region_canny:synthetic-3d-cartoon-029,synthetic-3d-cartoon-029,region_canny,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0284,flux_kontext_native1024:wm-wm_carrot-64417379,wm-wm_carrot-64417379,flux_kontext_native1024,comic,5,4,4,yes,True,False,False,False,False,,False
P-0287,region_canny:cma-120848,cma-120848,region_canny,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0288,flux_kontext_native1024:synthetic-comic-025,synthetic-comic-025,flux_kontext_native1024,comic,4,3,4,yes,False,False,False,True,False,,False
P-0289,global_canny_0p4:synthetic-3d-cartoon-016,synthetic-3d-cartoon-016,global_canny_0p4,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0291,prompt_generic:synthetic-3d-cartoon-019,synthetic-3d-cartoon-019,prompt_generic,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,False
P-0292,prompt_adaptive:cma-121287,cma-121287,prompt_adaptive,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,False
P-0299,prompt_generic:synthetic-comic-022,synthetic-comic-022,prompt_generic,comic,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,False
P-0300,flux_kontext_native1024:synthetic-3d-cartoon-028,synthetic-3d-cartoon-028,flux_kontext_native1024,3d_cartoon,4,3,4,yes,False,False,False,True,False,,False
